SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,AgeGroup,UtilGroup,IncomeQuartile,Total Late Payments
0,0.213178682,74,0,0.375606969,3500,3,0,1,0,1,65+,10-30%,"(-0.001, 3879.0]",1
0,0.548458062,64,0,0.209891754,11362,7,0,1,0,2,50-65,50-70%,"(7385.25, 251608.0]",1
0,0.221812771,43,0,0.527887839,3280,7,0,1,0,2,40-50,10-30%,"(-0.001, 3879.0]",1
0,0.052436094,58,0,0.097672186,8333,22,0,1,0,0,50-65,0-10%,"(7385.25, 251608.0]",1
0,0.452515828,24,0,0.011761247,3400,1,0,0,0,0,<30,30-50%,"(-0.001, 3879.0]",0
0,0.881836362,50,3,0.567858035,4000,9,0,1,0,1,40-50,70-100%,"(3879.0, 5351.0]",1
0,0.9999999,75,1,0.134078212,3400,1,0,1,0,1,65+,70-100%,"(-0.001, 3879.0]",1
0,0.000602723,70,0,0.177787036,16800,12,0,1,0,2,65+,0-10%,"(7385.25, 251608.0]",1
1,0.728150491,31,0,0.824725092,3000,10,0,2,0,1,30-40,70-100%,"(-0.001, 3879.0]",2
0,0.070853769,55,0,0.073147745,13793,4,0,1,0,0,50-65,0-10%,"(7385.25, 251608.0]",1
0,0.454971915,46,1,0.016921775,13000,10,0,0,0,1,40-50,30-50%,"(7385.25, 251608.0]",0
0,0.655569945,35,0,0.261609907,5813,10,0,0,0,2,30-40,50-70%,"(5351.0, 7385.25]",0
0,0.651603452,58,0,0.241135663,7783,11,0,1,0,0,50-65,50-70%,"(7385.25, 251608.0]",1
0,0.337520702,60,0,0.549877805,4500,10,0,2,0,0,50-65,30-50%,"(3879.0, 5351.0]",2
0,0.750873672,55,2,0.316416365,7723,17,0,1,0,1,50-65,70-100%,"(7385.25, 251608.0]",1
